Local,Fecha,Turno,n_pedidos
BARCELONA (✔),2020-03-05,cena,
BARCELONA (✔),2020-03-05,comida,
BARCELONA (✔),2020-03-06,cena,
BARCELONA (✔),2020-03-06,comida,
BARCELONA (✔),2020-03-07,cena,
BARCELONA (✔),2020-03-07,comida,
LAS TABLAS (✔),2020-03-05,cena,
LAS TABLAS (✔),2020-03-05,comida,
LAS TABLAS (✔),2020-03-06,cena,
LAS TABLAS (✔),2020-03-06,comida,
LAS TABLAS (✔),2020-03-07,cena,
LAS TABLAS (✔),2020-03-07,comida,
MALLORCA (✔),2020-03-05,cena,
MALLORCA (✔),2020-03-05,comida,
MALLORCA (✔),2020-03-06,cena,
MALLORCA (✔),2020-03-06,comida,
MALLORCA (✔),2020-03-07,cena,
MALLORCA (✔),2020-03-07,comida,
PARACUELLOS (✔),2020-03-05,cena,
PARACUELLOS (✔),2020-03-05,comida,
PARACUELLOS (✔),2020-03-06,cena,
PARACUELLOS (✔),2020-03-06,comida,
PARACUELLOS (✔),2020-03-07,cena,
PARACUELLOS (✔),2020-03-07,comida,
POZUELO (✔),2020-03-05,cena,
POZUELO (✔),2020-03-05,comida,
POZUELO (✔),2020-03-06,cena,
POZUELO (✔),2020-03-06,comida,
POZUELO (✔),2020-03-07,cena,
POZUELO (✔),2020-03-07,comida,
VALENCIA (✔),2020-03-05,cena,
VALENCIA (✔),2020-03-05,comida,
VALENCIA (✔),2020-03-06,cena,
VALENCIA (✔),2020-03-06,comida,
VALENCIA (✔),2020-03-07,cena,
VALENCIA (✔),2020-03-07,comida,
